,value,question
50,Dynamic Flexibility_a,"The ability to quickly and repeatedly bend, stretch, twist, or reach out with your body, arms, and/or legs."
51,Peripheral Vision_a,The ability to see objects or movement of objects to one's side when the eyes are looking ahead.
52,Biology_k,"Knowledge of plant and animal organisms, their tissues, cells, functions, interdependencies, and interactions with each other and the environment."
53,English Language_k,"Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar."
54,Mathematics_k,"Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications."
55,Computers and Electronics_k,"Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming."
56,Chemistry_k,"Knowledge of the chemical composition, structure, and properties of substances and of the chemical processes and transformations that they undergo. This includes uses of chemicals and their interactions, danger signs, production techniques, and disposal methods."
57,Education and Training_k,"Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects."
58,Administrative_k,"Knowledge of administrative and office procedures and systems such as word processing, managing files and records, stenography and transcription, designing forms, and workplace terminology."
59,Law and Government_k,"Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive orders, agency rules, and the democratic political process."
60,Public Safety and Security_k,"Knowledge of relevant equipment, policies, procedures, and strategies to promote effective local, state, or national security operations for the protection of people, data, property, and institutions."
61,Mechanical_k,"Knowledge of machines and tools, including their designs, uses, repair, and maintenance."
62,Physics_k,"Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes."
63,Administration and Management_k,"Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources."
64,Customer and Personal Service_k,"Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction."
65,Engineering and Technology_k,"Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services."
66,Communications and Media_k,"Knowledge of media production, communication, and dissemination techniques and methods. This includes alternative ways to inform and entertain via written, oral, and visual media."
67,Transportation_k,"Knowledge of principles and methods for moving people or goods by air, rail, sea, or road, including the relative costs and benefits."
68,Production and Processing_k,"Knowledge of raw materials, production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of goods."
69,Medicine and Dentistry_k,"Knowledge of the information and techniques needed to diagnose and treat human injuries, diseases, and deformities. This includes symptoms, treatment alternatives, drug properties and interactions, and preventive health-care measures."
70,Personnel and Human Resources_k,"Knowledge of principles and procedures for personnel recruitment, selection, training, compensation and benefits, labor relations and negotiation, and personnel information systems."
71,Psychology_k,"Knowledge of human behavior and performance; individual differences in ability, personality, and interests; learning and motivation; psychological research methods; and the assessment and treatment of behavioral and affective disorders."
72,Geography_k,"Knowledge of principles and methods for describing the features of land, sea, and air masses, including their physical characteristics, locations, interrelationships, and distribution of plant, animal, and human life."
73,Telecommunications_k,"Knowledge of transmission, broadcasting, switching, control, and operation of telecommunications systems."
74,Economics and Accounting_k,"Knowledge of economic and accounting principles and practices, the financial markets, banking, and the analysis and reporting of financial data."
75,Design_k,"Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models."
76,Sociology and Anthropology_k,"Knowledge of group behavior and dynamics, societal trends and influences, human migrations, ethnicity, cultures, and their history and origins."
77,Sales and Marketing_k,"Knowledge of principles and methods for showing, promoting, and selling products or services. This includes marketing strategy and tactics, product demonstration, sales techniques, and sales control systems."
78,Building and Construction_k,"Knowledge of materials, methods, and the tools involved in the construction or repair of houses, buildings, or other structures such as highways and roads."
79,Therapy and Counseling_k,"Knowledge of principles, methods, and procedures for diagnosis, treatment, and rehabilitation of physical and mental dysfunctions, and for career counseling and guidance."
80,Philosophy and Theology_k,"Knowledge of different philosophical systems and religions. This includes their basic principles, values, ethics, ways of thinking, customs, practices, and their impact on human culture."
81,History and Archeology_k,"Knowledge of historical events and their causes, indicators, and effects on civilizations and cultures."
82,Foreign Language_k,"Knowledge of the structure and content of a foreign (non-English) language including the meaning and spelling of words, rules of composition and grammar, and pronunciation."
83,Fine Arts_k,"Knowledge of the theory and techniques required to compose, produce, and perform works of music, dance, visual arts, drama, and sculpture."
84,Food Production_k,"Knowledge of techniques and equipment for planting, growing, and harvesting food products (both plant and animal) for consumption, including storage/handling techniques."
85,Reading Comprehension_s,Understanding written sentences and paragraphs in work-related documents.
86,Critical Thinking_s,"Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems."
87,Active Listening_s,"Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times."
88,Science_s,Using scientific rules and methods to solve problems.
89,Active Learning_s,Understanding the implications of new information for both current and future problem-solving and decision-making.
90,Writing_s,Communicating effectively in writing as appropriate for the needs of the audience.
91,Speaking_s,Talking to others to convey information effectively.
92,Monitoring_s,"Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action."
93,Complex Problem Solving_s,Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.
94,Judgment and Decision Making_s,Considering the relative costs and benefits of potential actions to choose the most appropriate one.
95,Mathematics_s,Using mathematics to solve problems.
96,Operations Monitoring_s,"Watching gauges, dials, or other indicators to make sure a machine is working properly."
97,Systems Analysis_s,"Determining how a system should work and how changes in conditions, operations, and the environment will affect outcomes."
98,Learning Strategies_s,Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.
99,Quality Control Analysis_s,"Conducting tests and inspections of products, services, or processes to evaluate quality or performance."
100,Time Management_s,Managing one's own time and the time of others.
101,Social Perceptiveness_s,Being aware of others' reactions and understanding why they react as they do.
102,Coordination_s,Adjusting actions in relation to others' actions.
103,Systems Evaluation_s,"Identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system."
104,Operation and Control_s,Controlling operations of equipment or systems.
105,Troubleshooting_s,Determining causes of operating errors and deciding what to do about it.
106,Instructing_s,Teaching others how to do something.
107,Service Orientation_s,Actively looking for ways to help people.
108,Management of Material Resources_s,"Obtaining and seeing to the appropriate use of equipment, facilities, and materials needed to do certain work."
109,Equipment Maintenance_s,Performing routine maintenance on equipment and determining when and what kind of maintenance is needed.
110,Management of Personnel Resources_s,"Motivating, developing, and directing people as they work, identifying the best people for the job."
111,Persuasion_s,Persuading others to change their minds or behavior.
112,Negotiation_s,Bringing others together and trying to reconcile differences.
113,Operations Analysis_s,Analyzing needs and product requirements to create a design.
114,Technology Design_s,Generating or adapting equipment and technology to serve user needs.
115,Equipment Selection_s,Determining the kind of tools and equipment needed to do a job.
116,Programming_s,Writing computer programs for various purposes.
117,Management of Financial Resources_s,"Determining how money will be spent to get the work done, and accounting for these expenditures."
118,Repairing_s,Repairing machines or systems using the needed tools.
119,Installation_s,"Installing equipment, machines, wiring, or programs to meet specifications."
120,Attention to Detail_ws,Job requires being careful about detail and thorough in completing work tasks.
121,Dependability_ws,"Job requires being reliable, responsible, and dependable, and fulfilling obligations."
122,Integrity_ws,Job requires being honest and ethical.
123,Independence_ws,"Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
124,Cooperation_ws,"Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
125,Analytical Thinking_ws,Job requires analyzing information and using logic to address work-related issues and problems.
126,Adaptability/Flexibility_ws,Job requires being open to change (positive or negative) and to considerable variety in the workplace.
127,Self-Control_ws,"Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
128,Stress Tolerance_ws,Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
129,Persistence_ws,Job requires persistence in the face of obstacles.
130,Initiative_ws,Job requires a willingness to take on responsibilities and challenges.
131,Achievement/Effort_ws,Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
132,Concern for Others_ws,Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
133,Innovation_ws,Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
134,Social Orientation_ws,"Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
135,Leadership_ws,"Job requires a willingness to lead, take charge, and offer opinions and direction."
136,Achievement_wv,"Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement."
137,Support_wv,"Occupations that satisfy this work value offer supportive management that stands behind employees. Corresponding needs are Company Policies, Supervision: Human Relations and Supervision: Technical."
138,Working Conditions_wv,"Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions."
139,Independence_wv,"Occupations that satisfy this work value allow employees to work on their own and make decisions. Corresponding needs are Creativity, Responsibility and Autonomy."
140,Relationships_wv,"Occupations that satisfy this work value allow employees to provide service to others and work with co-workers in a friendly non-competitive environment. Corresponding needs are Co-workers, Moral Values and Social Service."
141,Recognition_wv,"Occupations that satisfy this work value offer advancement, potential for leadership, and are often considered prestigious. Corresponding needs are Advancement, Authority, Recognition and Social Status."
